ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
10990,3.802566395899129e-20,9.171135958344872e-20
19007,0.0,0.0
18302,0.0,0.0
18343,0.0,0.0
19137,0.0,0.0
18040,0.0,0.0
18972,7.170594207739256e-11,4.5778756857566536e-10
18950,0.0,0.0
19061,0.0,0.0
19125,0.0,0.0
18351,0.0,0.0
19067,0.0,0.0
19136,0.0,0.0
19114,0.0,0.0
18301,0.0,0.0
18933,0.0,0.0
19078,0.0,0.0
19022,0.0,0.0
19153,0.0,0.0
19029,0.0,0.0
19134,0.0,0.0
18930,0.0,0.0
19106,0.0,0.0
18013,1.1766303852364512e-12,2.759308011230399e-12
18337,0.0,0.0
18324,0.0,0.0
19112,0.0,0.0
18336,0.0,0.0
18360,0.0,0.0
18938,0.0,0.0
18977,0.0,0.0
19013,0.0,0.0
19148,0.0,0.0
18042,0.0,0.0
19123,0.0,0.0
18077,0.0,0.0
19021,0.0,0.0
18328,0.0,0.0
19135,0.0,0.0
19020,0.0,0.0
07066,0.0,0.0
07608,0.0,0.0
08723,0.0,0.0
08088,0.0009713251505725631,0.0009828403069510924
08008,0.0,0.0
07748,0.0,0.0
08036,0.0,0.0
07760,0.0,0.0
07753,0.0,0.0
07764,0.0,0.0
07751,0.0,0.0
07722,0.0,0.0
07755,0.0,0.0
08720,0.0,0.0
07702,0.0,0.0
08240,0.0,0.0
07747,0.0,0.0
07102,0.0,0.0
08558,0.0,0.0
08540,0.0,0.0
07920,0.0,0.0
07060,0.0,0.0
07663,0.0,0.0
08232,0.0,0.0
07407,0.0,0.0
08829,0.0,0.0
07003,0.0,0.0
07208,0.0,0.0
07502,0.0,0.0
07024,0.0,0.0
08244,0.0,0.0
07828,0.0,0.0
07043,0.0,0.0
07928,0.0,0.0
07070,0.0,0.0
08403,0.0,0.0
08620,0.0,0.0
07801,1.9490034063750064e-18,2.1283733346865672e-17
08901,0.0,0.0
08230,0.0,0.0
08098,0.014754218454367788,0.038942069954601144
08861,0.0,0.0
08512,0.0,0.0
07603,0.0,0.0
07946,0.0,0.0
07105,0.0,0.0
08850,0.0,0.0
08349,0.0,0.0
07021,0.0,0.0
08323,0.0,0.0
07444,0.0,0.0
07452,0.0,0.0
07440,0.0,0.0
07857,0.0,0.0
07863,0.0058140342752500815,0.04399580093300929
07874,0.0,0.0
08329,0.0,0.0
08887,0.0,0.0
08310,0.0,0.0
08320,0.0,0.0
08110,0.0,0.0
08102,0.0,0.0
08085,0.0,0.0
07842,0.0,0.0
07512,0.0,0.0
08312,0.0,0.0
08322,0.0,0.0
07422,0.02538992449287904,0.20483981685926372
07827,0.0,0.0
08096,0.0,0.0
07881,0.0,0.0
08327,0.0,0.0
08316,0.0,0.0
08857,0.0,0.0
07945,0.0,0.0
08873,0.0,0.0
08037,0.05868828890002918,0.07283532451627198
07604,0.0,0.0
08825,0.0030374768744595958,0.01581441017406829
07033,0.0,0.0
07081,0.0,0.0
07206,0.0,0.0
07204,0.0,0.0
07853,0.0,0.0
07093,0.0,0.0
08817,0.0,0.0
07403,0.0,0.0
08610,0.0,0.0
07005,0.0,0.0
07932,0.0,0.0
08904,0.0,0.0
08691,0.0,0.0
07008,0.0,0.0
07058,0.0,0.0
08869,0.0,0.0
07847,0.0,0.0
07114,0.0,0.0
08069,0.0,0.0
07026,0.0,0.0
07039,0.0,0.0
08520,0.0,0.0
07933,0.0,0.0
08318,0.0,0.0
08001,0.0,0.0
07628,0.0,0.0
08534,0.0,0.0
08832,0.0,0.0
08848,0.010921947363816732,0.04977713133326178
08202,0.0,0.0
07068,0.0,0.0
08536,0.0,0.0
08824,0.0,0.0
07460,0.001808090035203322,0.009057319165064037
08038,0.0,0.0
08559,0.0,0.0
07921,0.0,0.0
08350,0.0,0.0
07503,0.0,0.0
08528,0.0,0.0
07721,0.0,0.0
08002,0.0,0.0
08751,0.0,0.0
07505,0.0,0.0
08245,0.0,0.0
07970,0.0,0.0
08062,0.0,0.0
08012,0.0,0.0
08081,0.0,0.0
07871,0.019317313337234656,0.07274469684287246
08108,0.0,0.0
08078,0.0,0.0
08026,0.0,0.0
08046,0.0,0.0
08562,0.03177903808002219,0.2900653635359886
07762,0.0,0.0
08701,0.0,0.0
08514,0.014623525900963904,0.08048259606988141
08742,0.0,0.0
08005,0.0,0.0
07732,0.0,0.0
08732,0.0,0.0
08736,0.0,0.0
08555,0.0,0.0
08205,0.0,0.0
08034,0.0,0.0
08009,0.0,0.0
08340,0.0,0.0
07302,0.0,0.0
07735,0.0,0.0
08828,0.0,0.0
07670,0.0,0.0
08801,0.0,0.0
08822,0.0,0.0
07002,0.0,0.0
08886,0.0,0.0
07430,0.0,0.0
07083,0.0,0.0
07035,0.0,0.0
07882,0.0417387428756802,0.20013409540487226
08827,0.0067318129637020056,0.05627052167207518
08854,0.0,0.0
07202,0.0,0.0
07086,0.0,0.0
07042,0.0,0.0
07632,0.0,0.0
08629,0.0,0.0
07647,0.0,0.0
08846,0.0,0.0
07677,0.0,0.0
07011,0.0,0.0
07073,0.0,0.0
07001,0.0,0.0
07876,0.0,0.0
07660,0.0,0.0
07865,1.867606929804408e-18,1.7051505903867354e-17
07924,0.0,0.0
07977,0.0,0.0
07076,0.0,0.0
07866,3.628046713293857e-18,2.2136313868069288e-17
07435,0.0060489789692328025,0.06302139369284546
07960,0.0,0.0
07950,0.0,0.0
08836,0.0,0.0
07675,0.0,0.0
07014,0.0,0.0
08648,0.0,0.0
07054,0.0,0.0
07601,0.0,0.0
07640,0.0,0.0
07838,0.0,0.0
08242,0.0,0.0
07423,0.0,0.0
07432,0.0,0.0
08348,0.0,0.0
08858,0.0,0.0
08757,0.0,0.0
08104,0.0,0.0
08341,0.0,0.0
08343,0.0,0.0
08246,0.0,0.0
07833,0.0,0.0
08759,0.0,0.0
08741,0.0,0.0
08721,0.0,0.0
08880,0.0,0.0
07935,0.0,0.0
07470,0.0,0.0
07456,0.0,0.0
08021,0.0,0.0
08027,0.0,0.0
08015,0.058414316695843155,0.15625388576071614
08075,0.0,0.0
08004,0.0,0.0
08077,0.0,0.0
08527,0.0004041295720052659,0.0007175868496401671
08065,0.0,0.0
08511,0.007719028781576714,0.4929861048063441
08640,0.027342697517161854,0.2244988525421339
08006,0.0,0.0
07750,0.0,0.0
07740,0.0,0.0
07728,0.0,0.0
08730,0.0,0.0
07717,0.0,0.0
08302,0.11292586001863922,0.11864823101754116
07305,0.0,0.0
08879,0.0,0.0
08502,0.0,0.0
08833,0.0,0.0
08551,0.0,0.0
07607,0.0,0.0
07974,0.0,0.0
07062,0.0,0.0
07090,0.0,0.0
08553,0.0,0.0
07022,0.0,0.0
08406,0.0,0.0
07109,0.0,0.0
07079,0.0,0.0
08608,0.0,0.0
07036,0.0,0.0
