ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
73946,0.0,0.0
73937,0.0,0.0
73933,0.0,0.0
88242,0.012769514135999754,0.06240963012590795
88252,0.0,0.0
87311,0.0007141439414045073,0.0011330191952147154
88424,0.0,0.0
88418,0.0,0.0
88414,0.0,0.0
88349,0.0,0.0
87728,0.0,0.0
87713,0.0,0.0
79922,0.0,0.0
88323,0.0,0.0
87583,0.0,0.0
87820,0.0,0.0
87931,0.0,0.0
88321,0.0,0.0
87401,0.001843404883264026,0.0045370930721578134
88011,0.0,0.0
87106,0.0,0.0
88343,0.0,0.0
88112,0.0,0.0
87539,0.0,0.0
88072,0.006052165193963211,0.08050984371812223
87008,0.0,0.0
87501,0.0,0.0
87523,0.0,0.0
88250,0.0,0.0
87020,0.019222514502078913,0.007149829411802762
87043,0.0,0.0
87114,0.0,0.0
88318,0.0,0.0
87011,0.0,0.0
87937,0.0,0.0
87562,0.0,0.0
87005,0.0,0.0
87029,0.0,0.0
87028,0.0,0.0
87047,0.0,0.0
88027,0.0,0.0
87107,0.0,0.0
88113,0.0,0.0
88260,0.02050787728212673,0.008635008474923994
87112,0.0,0.0
88256,0.0,0.0
87010,0.0,0.0
87056,0.0,0.0
87527,0.0,0.0
87415,0.0,0.0
87747,0.0,0.0
87734,0.0,0.0
88351,0.0,0.0
87543,0.0,0.0
87524,0.0,0.0
88244,0.0,0.0
88311,0.0,0.0
88262,0.0,0.0
87101,0.0,0.0
87712,0.0,0.0
88121,0.0,0.0
88038,0.0,0.0
87831,0.0,0.0
87801,0.018207314519618614,0.034876035528002225
87062,0.0,0.0
87042,0.0,0.0
87151,0.0,0.0
88426,0.0,0.0
87036,0.0,0.0
87061,0.0,0.0
88043,0.0005249442786402488,0.002507911083565389
88130,0.016164592685551253,0.00860411069705311
88001,0.0,0.0
88030,0.023946403725373766,0.0032272706366952603
81147,0.0,0.0
86544,0.0,0.0
81091,0.0,0.0
81027,0.0,0.0
81081,0.0,0.0
86504,0.001102094974128274,0.0018146236579434855
86514,0.0,0.0
86515,0.0006618038481997016,0.001905524811578337
81303,0.0,0.0
81334,0.0,0.0
87551,0.0,0.0
88201,0.026807354952785446,0.0034526591060997833
87102,0.0,0.0
88008,0.0,0.0
87420,0.012895398533756382,0.007646956725090539
87313,0.0,0.0
88124,0.0,0.0
88126,0.0,0.0
88012,0.0,0.0
88230,8.88710673651397e-11,1.0645810036431104e-10
88435,0.0065260237347669,0.001218083784671774
87830,0.0,0.0
88029,0.0,0.0
87025,0.0,0.0
87326,0.0,0.0
88340,0.0,0.0
87018,0.0,0.0
88345,0.01957168361028365,0.17019563055166018
87046,0.0,0.0
87518,0.0,0.0
87111,0.0,0.0
88417,2.777521107289709e-12,2.058689728762893e-12
87742,0.0,0.0
87529,0.005425793696218888,0.027565435038037482
87743,0.0,0.0
87410,0.019591086758934523,0.02409816206634502
88265,0.0,0.0
87083,0.0,0.0
88325,8.755602338741923e-11,2.822269078374879e-10
87323,0.0,0.0
87357,0.0,0.0
87733,0.0,0.0
87007,0.0,0.0
87421,9.817949336018738e-05,0.0009788006232983161
87556,0.0,0.0
87710,0.0,0.0
87514,0.0,0.0
87513,0.0,0.0
88324,0.0,0.0
87557,0.014454227947552231,0.03439245551045956
87512,0.0,0.0
88354,0.0,0.0
87723,0.0,0.0
88268,0.0,0.0
88255,0.0,0.0
88055,0.0,0.0
85920,0.0,0.0
86508,0.0,0.0
85534,0.0,0.0
85922,0.0,0.0
87070,0.0,0.0
87023,0.0,0.0
87117,0.0,0.0
88061,0.028251311945585663,0.010847118202770678
88101,0.06603646041909127,0.04122923469097854
87013,0.0,0.0
88253,0.0,0.0
87108,0.0,0.0
88005,0.0,0.0
88044,0.0,0.0
88346,0.005054682338892156,0.03316196927586074
87582,0.0019371609659200961,0.027696201040476737
87560,0.0,0.0
88039,0.0,0.0
87015,0.016076234576391832,0.04097731785436797
88431,0.0,0.0
87553,0.0,0.0
87051,0.0,0.0
87063,0.0,0.0
87829,0.0,0.0
87105,0.0,0.0
87109,0.0,0.0
87113,0.0,0.0
87059,0.0,0.0
88048,0.0054356298595849084,0.08596894221195077
88410,0.0,0.0
87578,0.0,0.0
87531,0.0,0.0
87412,0.0,0.0
88003,0.0,0.0
87517,0.0,0.0
87732,0.0,0.0
87031,0.0,0.0
87941,0.0,0.0
87736,0.0,0.0
88024,0.0,0.0
88439,0.0,0.0
87735,0.0,0.0
88065,0.0,0.0
87006,0.0,0.0
87116,0.0,0.0
87823,0.0,0.0
88009,0.0,0.0
86511,0.0,0.0
86556,0.0,0.0
85632,0.0,0.0
86512,0.0,0.0
81138,0.0,0.0
81120,0.0,0.0
85607,0.0,0.0
85936,0.0,0.0
87328,0.0,0.0
85533,0.0,0.0
81049,0.0,0.0
81121,0.0,0.0
85932,0.0,0.0
81328,0.0,0.0
81152,0.0,0.0
87571,0.028732299223107344,0.060095083151903095
87746,0.0,0.0
87123,0.0,0.0
87072,0.0,0.0
88317,0.0,0.0
88411,0.0,0.0
88023,0.0036498256373500553,0.025571388046024816
88026,0.003645546651659224,0.265131244131127
87510,0.0,0.0
88203,0.05224093064496699,0.01637417956720636
87507,0.0,0.0
87124,0.0,0.0
87121,0.0,0.0
88041,7.588910522476196e-06,5.9869536643356614e-06
88430,0.0,0.0
88316,0.0,0.0
88312,0.0,0.0
88301,0.0,0.0
87110,0.0,0.0
87016,0.0,0.0
88042,0.0,0.0
87537,0.005986703231235151,0.013989744840353866
87301,0.0345491355711204,0.2919577533211314
87320,0.0,0.0
88336,0.0,0.0
88421,0.0,0.0
87565,0.0,0.0
87573,0.0,0.0
87731,0.0,0.0
87052,0.002179328808266231,0.00933048376697143
87566,0.010017860170737596,0.14981327360188415
88314,0.0,0.0
88114,0.0,0.0
87418,0.0,0.0
88436,0.0,0.0
87558,0.0,0.0
87753,0.0,0.0
87714,0.0,0.0
88350,0.0,0.0
87519,0.0,0.0
88115,0.0,0.0
88034,0.0,0.0
87936,0.0,0.0
87580,0.0,0.0
87032,0.0,0.0
87724,0.0,0.0
87828,0.0,0.0
88401,0.008844733376101225,0.0030481103256124083
88136,0.0,0.0
87012,0.0,0.0
87549,0.0,0.0
88232,0.0,0.0
87505,0.0,0.0
88007,0.0,0.0
87319,0.0,0.0
87017,0.0,0.0
88125,0.0,0.0
88220,0.06425067105027434,0.011628863748900263
87506,0.019227282207755995,0.020662075698800974
87122,0.0,0.0
87321,0.0,0.0
87538,0.0,0.0
87930,0.0,0.0
87943,0.0,0.0
87315,0.0,0.0
87548,0.0,0.0
87825,0.0,0.0
87064,0.0,0.0
87104,0.0,0.0
87037,0.0,0.0
88132,0.0,0.0
81082,0.0,0.0
