ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
30907,2.386022513301447e-13,2.722280449363894e-10
30830,2.489472175173531e-12,1.884265454533205e-10
31329,5.975661704954561e-13,1.8647477811055107e-10
31303,5.496511535126476e-12,1.9082774139843414e-09
31326,6.492829778297036e-13,2.7251677616502243e-10
30446,3.368015176948155e-13,1.7586528463615005e-10
30643,2.6731967627710363e-12,5.528071331074382e-10
30557,1.6899249207870695e-12,7.841527486102017e-10
30553,8.432586970534408e-13,3.711245357072421e-10
30552,3.2117790540139417e-12,1.5654486267364212e-09
30426,6.591365701783952e-12,1.6018565309830813e-09
30525,1.7816174287417625e-11,2.513672758361484e-09
30635,4.418214545451725e-12,4.131827338111093e-10
30901,5.594634544008687e-12,8.583779028167206e-09
30523,9.440937782460397e-14,1.4159653891762423e-11
30817,2.2496481449115374e-12,2.783226090867528e-10
30809,2.1925223013539962e-13,1.3722185417325054e-10
30802,9.027935843488034e-13,1.7437070070881839e-10
30467,1.3578327477712551e-11,7.301570484985537e-10
30906,6.1510843945942255e-12,1.996130919908621e-09
30904,0.0,0.0
30577,1.686985594614882e-12,2.9681243917101747e-10
30668,5.247617153574159e-13,9.678479767683732e-11
28012,1.521180495807713e-12,1.3698677149464117e-09
28052,5.267390345769266e-12,3.5389253496564744e-09
28119,8.783875601119443e-12,3.6687679351326235e-09
28073,5.702072831904323e-12,6.18842800726158e-09
28712,1.2782890287048285e-11,3.062049894086511e-09
28364,2.1673310932434773e-12,4.518366916696128e-10
28772,2.6776639027581747e-12,3.88940047610444e-09
28278,1.3575471340857726e-12,1.1693516922144607e-09
28086,5.387494085034772e-12,1.65514208261281e-09
28718,3.4953175976031876e-12,4.779128002967643e-09
28343,1.6037441424022669e-12,2.8975605328077506e-09
28112,9.262782342329277e-12,1.945630212858066e-09
28782,8.111836481416816e-12,4.612746230672016e-09
28773,4.3059543542626175e-12,2.482187914946974e-09
28790,1.11917362639959e-11,6.533771537876855e-09
28277,3.658288871608638e-13,4.193865698875436e-10
28056,3.8216745543978915e-12,2.202382782197999e-09
28102,9.441385255442566e-13,2.885371286455439e-08
28463,1.2956713604379775e-11,3.2299197230033703e-09
28774,4.282754004315404e-12,2.190151660885558e-09
28352,3.846012901830063e-12,8.608048845513726e-10
28152,2.4051086827056225e-12,8.414059001303876e-10
28383,5.369239792155252e-12,1.4340665911001983e-09
28379,9.383564653093365e-12,1.6982422290220605e-09
28345,4.100281915331072e-12,1.6108575461423212e-09
28273,0.0,0.0
28468,6.842836367211386e-13,9.191948237068112e-10
28467,2.2596030628110364e-12,3.580682637910558e-09
28722,6.208379023908012e-12,3.9550906172681815e-09
28139,4.554084100156816e-12,6.986071870836681e-10
28173,9.782532282049024e-12,2.5497672402861624e-09
28103,3.80944847182254e-12,6.917068575728575e-10
28133,6.7869756176830524e-12,2.329521216677005e-09
28717,5.3862997501569874e-12,4.1322162735594865e-09
28340,7.354841861054239e-12,1.6795538503102275e-09
28439,3.4623850295416167e-12,4.003386751180112e-09
28741,3.0443959621092255e-14,9.412418125754606e-12
