ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
41553,0.0,0.0
41568,0.0,0.0
41548,0.0,0.0
40831,0.0,0.0
41537,0.0,0.0
41566,0.0,0.0
41563,0.0,0.0
40823,0.0,0.0
41512,0.0,0.0
40862,0.0,0.0
40855,0.0,0.0
40856,0.0,0.0
40927,0.0,0.0
40828,0.0,0.0
41522,0.0,0.0
41837,0.0,0.0
40826,0.0,0.0
40820,0.0,0.0
40843,0.0,0.0
21755,0.0,0.0
21851,0.0,0.0
21758,2.3097131578040754e-11,2.512161843789092e-10
20854,0.0,0.0
20812,0.0,0.0
21790,0.0,0.0
21838,0.0,0.0
20842,0.0,0.0
21716,2.2954629696461546e-19,2.868117645741095e-17
20874,0.0,0.0
20837,0.0,0.0
20818,0.0,0.0
21864,0.0,0.0
20816,0.0,0.0
27853,0.0,0.0
27024,0.0,0.0
27574,0.0,0.0
27927,0.0,0.0
27053,0.0,0.0
27048,0.0,0.0
28623,0.0,0.0
27030,1.620611463488405e-13,3.7209404324340246e-13
27326,0.0,0.0
27842,0.0,0.0
27343,0.0,0.0
27958,0.0,0.0
27876,0.0,0.0
27563,0.0,0.0
28631,0.0,0.0
27507,0.0,0.0
28615,0.0,0.0
27537,0.0,0.0
27046,0.0,0.0
27832,0.0,0.0
27565,0.0,0.0
27831,0.0,0.0
27551,0.0,0.0
27553,0.0,0.0
27311,3.4715071201107636e-12,2.7796177745135886e-11
28675,0.0,0.0
28643,0.0,0.0
27022,0.0,0.0
27288,0.0,0.0
27305,0.0,0.0
27950,0.0,0.0
27976,0.0,0.0
27818,0.0,0.0
27866,0.0,0.0
27862,0.0,0.0
27850,0.0,0.0
27315,0.0,0.0
28663,0.0,0.0
27926,0.0,0.0
27937,0.0,0.0
27589,0.0,0.0
26865,0.0,0.0
24984,0.0,0.0
24817,0.0,0.0
24894,0.0,0.0
26823,0.0,0.0
26711,0.0,0.0
25425,0.0,0.0
24815,0.0,0.0
24963,1.5524569179992982e-11,1.1845078452484794e-10
24738,0.0,0.0
24622,0.0,0.0
24873,0.0,0.0
26812,0.0,0.0
26851,0.0,0.0
25420,0.0,0.0
24920,0.0,0.0
24866,0.0,0.0
24604,0.0,0.0
26838,0.0,0.0
26808,0.0,0.0
25446,0.0,0.0
24951,0.0,0.0
24861,0.0,0.0
25427,0.0,0.0
25411,0.0,0.0
26815,0.0,0.0
25430,0.0,0.0
24879,0.0,0.0
26807,0.0,0.0
25413,0.0,0.0
20135,0.0,0.0
25422,0.0,0.0
26802,0.0,0.0
25979,0.0,0.0
24701,1.8552647846694878e-10,1.173565868720428e-09
26817,0.0,0.0
24986,0.0,0.0
24941,0.0,0.0
24934,0.0,0.0
24892,0.0,0.0
24884,0.0,0.0
26836,0.0,0.0
24739,0.0,0.0
24715,0.0,0.0
24954,0.0,0.0
24944,0.0,0.0
25434,0.0,0.0
25414,0.0,0.0
24871,0.0,0.0
24848,0.0,0.0
24862,0.0,0.0
26810,0.0,0.0
25651,0.0,0.0
24808,0.0,0.0
24872,0.0,0.0
26804,0.0,0.0
20016,0.0,0.0
20007,0.0,0.0
20024,0.0,0.0
