ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
59036,0.0,0.0
59046,0.0,0.0
59070,0.0,0.0
59410,0.0,0.0
59087,0.0,0.0
59059,0.0,0.0
59601,0.07636429159558096,0.09936773647322153
59223,0.0,0.0
59425,0.007603148030073122,0.002274929733479757
59482,0.0,0.0
59344,0.0,0.0
59733,0.0,0.0
59463,0.0,0.0
59062,0.0,0.0
59926,0.0,0.0
59729,0.0,0.0
59913,0.0,0.0
59215,0.0,0.0
59725,0.013054068343074555,0.001155922169021112
59037,0.0,0.0
59014,0.0,0.0
59743,0.0,0.0
59927,0.0,0.0
59754,0.0,0.0
59602,0.06554417588186219,0.020349201876133823
59749,0.0,0.0
59065,0.0,0.0
59735,0.0,0.0
59844,0.0,0.0
59840,0.02451114118505003,0.00777072769579079
59025,0.0,0.0
59832,0.0,0.0
59851,0.0,0.0
59846,0.0,0.0
59001,0.0,0.0
59061,0.0,0.0
59035,0.0,0.0
59848,0.0,0.0
59450,0.0,0.0
59446,0.0,0.0
59263,0.0,0.0
59332,0.0,0.0
59254,0.0,0.0
59243,0.0,0.0
59225,0.0,0.0
59248,0.0,0.0
59022,0.0,0.0
59827,0.0,0.0
59636,0.00144877553969192,0.07533168202626361
59483,0.0,0.0
59338,0.0,0.0
59055,0.0,0.0
59313,0.0,0.0
59086,0.0,0.0
59859,0.0,0.0
59454,0.0,0.0
59761,0.0,0.0
59351,0.0,0.0
59802,0.0,0.0
59479,0.0,0.0
59731,0.0,0.0
59746,0.0,0.0
59856,0.0,0.0
59919,0.0,0.0
59047,0.02392349618689756,0.0052656633132821045
59270,0.023887233172810496,0.004421184066032262
58838,0.0,0.0
58621,0.0,0.0
58654,0.0,0.0
59221,0.0,0.0
58643,0.0,0.0
58801,0.0,0.0
58845,0.0,0.0
58651,0.0,0.0
59275,0.0,0.0
58632,0.0,0.0
57717,0.0,0.0
57724,0.0,0.0
82716,0.0,0.0
82725,0.0,0.0
82720,0.0,0.0
82431,0.0,0.0
82414,0.0,0.0
82435,0.0,0.0
82836,0.0,0.0
82838,0.0,0.0
82190,0.0,0.0
82839,0.0,0.0
82801,0.0,0.0
82721,0.0,0.0
82835,0.0,0.0
82423,0.0,0.0
82831,0.0,0.0
82731,0.0,0.0
59315,0.0,0.0
59424,0.0,0.0
59064,0.0,0.0
59759,0.0,0.0
59714,0.060999011719696794,0.024955647077989328
59466,0.0,0.0
59937,0.02870653711110032,0.014709560505022075
59718,0.0643028615047598,0.06732213400240632
59412,0.0,0.0
59715,0.06672213948779279,0.038967239573373565
59853,0.0,0.0
59324,0.0,0.0
59917,0.0,0.0
59638,0.0,0.0
59837,0.0,0.0
59858,0.0,0.0
59105,0.0,0.0
59820,0.0,0.0
59404,0.0,0.0
59915,0.0,0.0
59480,0.0,0.0
59532,0.0,0.0
59472,0.0,0.0
59261,0.0,0.0
59256,0.0,0.0
59546,0.0,0.0
59863,0.0,0.0
59867,0.0,0.0
59441,0.0,0.0
59033,0.0,0.0
59039,0.0,0.0
59330,0.02678175596625614,0.00439997771130763
59326,0.0,0.0
59833,0.0,0.0
59353,0.0,0.0
59301,0.04149812687029878,0.0024719846649919525
59484,0.0,0.0
59041,0.0,0.0
59462,0.0,0.0
59072,0.0,0.0
59058,0.0,0.0
59317,0.0,0.0
59077,0.0,0.0
59322,0.0,0.0
59314,0.0,0.0
59312,0.0,0.0
59316,0.0,0.0
59545,0.0,0.0
59633,0.0,0.0
59732,0.0,0.0
59535,0.0,0.0
59015,0.0,0.0
59740,0.0,0.0
59026,0.0,0.0
59874,0.0,0.0
59721,0.0,0.0
59901,0.10722190249938045,0.03648151459850812
59918,0.0,0.0
59830,0.0,0.0
59804,0.0,0.0
59538,0.0,0.0
59925,0.0,0.0
59016,0.0,0.0
59758,0.0,0.0
59057,0.0,0.0
59231,0.0,0.0
59420,0.0,0.0
59222,0.0,0.0
59528,0.0,0.0
59525,0.0,0.0
59477,0.0,0.0
59311,0.0,0.0
59935,0.0,0.0
59756,0.0,0.0
59218,0.0,0.0
59219,0.0,0.0
59242,0.0,0.0
59008,0.0,0.0
59217,0.0,0.0
59486,0.0,0.0
59274,0.0,0.0
59854,0.0,0.0
59032,0.0,0.0
59529,0.0,0.0
59074,0.0,0.0
83468,0.0,0.0
83805,0.0,0.0
83802,0.0,0.0
83467,0.0,0.0
59847,0.010142037174940232,0.005689213494372592
83846,0.0,0.0
83811,0.0,0.0
83465,0.0,0.0
83462,0.0,0.0
83466,0.0,0.0
83874,0.0,0.0
83423,0.0,0.0
83429,0.0,0.0
83463,0.0,0.0
83539,0.0,0.0
83845,0.0,0.0
83469,0.0,0.0
83464,0.0,0.0
83873,0.0,0.0
59825,0.0,0.0
59932,0.0,0.0
59075,0.0,0.0
59762,0.0,0.0
59736,0.0,0.0
59722,0.008441015892582433,0.0036689919291740918
59418,0.0,0.0
59642,0.0,0.0
59720,0.0,0.0
59739,0.0,0.0
59018,0.0,0.0
59728,0.0,0.0
59468,0.0,0.0
59430,0.0,0.0
59916,0.0,0.0
59010,0.0,0.0
59501,0.02588701341498147,0.003114564839410906
59052,0.0,0.0
59640,0.0,0.0
59487,0.0,0.0
59928,0.0,0.0
59866,0.0,0.0
59421,0.0,0.0
59875,0.0,0.0
59747,0.0,0.0
59027,0.0,0.0
59043,0.0,0.0
59456,0.0,0.0
59632,0.0,0.0
59845,0.0,0.0
59028,0.0,0.0
59871,0.0,0.0
59829,0.0,0.0
59002,0.0,0.0
59824,0.0,0.0
59079,0.0,0.0
59442,0.0,0.0
59440,0.0,0.0
59066,0.0,0.0
59457,0.013096521888635089,0.0022099155130806776
59276,0.0,0.0
59253,0.0,0.0
59527,0.0,0.0
59544,0.0,0.0
59241,0.0,0.0
59244,0.0,0.0
59260,0.0,0.0
59212,0.0,0.0
59537,0.0,0.0
59910,0.0,0.0
59432,0.0,0.0
