ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
70639,5.061778559982237e-13,2.0193774076627358e-09
71462,1.78681661190226e-13,7.283137589786165e-10
70668,1.1015597194287188e-13,1.9925998913340395e-10
71046,7.891477678949531e-14,2.3141952296466249e-10
71047,4.5766235606179254e-14,1.0610720087123565e-10
71007,4.094333467775174e-14,5.408232637924339e-10
71449,1.1175984042526875e-12,9.934559918736753e-10
71446,1.2048436643592115e-13,4.635052353928182e-11
71069,6.977662573400887e-14,5.426915894071607e-10
71060,8.976358304775566e-14,3.139162728983044e-10
70631,0.0,0.0
71419,5.868167298623369e-13,9.125409655233893e-10
71403,8.029445477556592e-13,1.4518624762542978e-09
71033,9.36113550569822e-14,7.937096320198675e-10
71049,9.3969084761714e-13,2.4750650641665105e-09
70653,7.900198701109042e-13,7.621224264585657e-10
71429,1.6782614238752162e-13,1.6674772440974035e-10
70661,1.1217226334958538e-12,1.5571644023254098e-09
71052,2.1273224551572844e-13,1.645631696125154e-10
71082,2.197746347312955e-13,6.279677738634644e-10
71486,6.148611108671519e-13,1.120985394734558e-09
73942,1.5600853320080076e-12,6.21742506812854e-10
73939,5.752313008238647e-13,3.3978410218244326e-10
73642,1.625318098251742e-13,3.834610437879966e-10
73668,1.5025646835504447e-14,6.731343413583387e-10
73448,1.5431691728570211e-12,1.7168147258038742e-09
73463,1.239181360562796e-13,1.4653217046794446e-10
73569,2.3235981416785e-12,7.693378453485405e-09
73548,5.488477552599763e-13,1.9016973851184427e-09
73568,3.949331143392104e-14,1.0498883359553734e-10
73858,6.015353324948407e-14,6.420095578479378e-11
73843,2.470646512008907e-13,1.7993152209635383e-10
73932,1.086838883480552e-12,4.843398984092369e-10
74741,6.419345832431495e-13,2.6306835868515375e-09
74733,7.66030180202774e-13,3.513560121887465e-09
73571,0.0,0.0
73456,5.764238954454084e-13,5.837578442767253e-10
74736,9.990832947544726e-13,3.3990884425418646e-09
73430,1.3435173572294659e-12,3.8849563018332165e-09
74727,1.0635193481869331e-12,1.1868271262952286e-09
73539,8.924616704870638e-13,3.2840341869349746e-09
73537,1.819174838096693e-12,2.926653147165968e-09
74764,7.520926043051217e-13,9.965630011092023e-10
73459,1.089669479231194e-12,7.092984703677541e-09
74735,1.0946323081288764e-12,1.30601624891038e-09
73439,1.6136279602978258e-12,2.3833766920341137e-09
73565,1.0754906866815132e-12,1.3706133609156285e-09
73573,2.7244569841325125e-13,3.424749585496314e-10
73937,2.3486261853933694e-12,2.643601975145359e-09
73560,1.0228114810030797e-12,1.8428130042070502e-09
73440,2.1627999760810466e-13,4.070436909626219e-09
74738,9.3658961243148e-13,7.51970686783836e-09
73933,1.351605353038451e-12,3.381627014371597e-10
73562,7.29426678915989e-13,1.628070682985064e-09
73931,1.4144739739627313e-12,1.5030490536106566e-09
74731,3.5295403928729606e-13,3.769461188782232e-09
74726,3.670013045168917e-13,5.99045390191268e-10
74723,1.0937062482141462e-12,1.4635349109852256e-09
73949,0.00025568297005253935,0.1358549102584686
73944,1.2501156824595154e-12,1.4613613763783352e-09
74743,1.340610502807786e-12,1.3729811484697344e-09
73550,6.786792573211121e-13,7.229649551892717e-10
73666,2.3562919803331995e-13,4.162013172468236e-10
74740,2.2268768938260993e-12,2.125730245395071e-09
73530,1.9589083591897387e-12,3.9540767962140215e-09
74745,1.3862890469794698e-12,1.959677299873705e-09
73546,1.318043565718791e-12,1.9334236773312515e-09
73645,1.2698241175578707e-15,1.1977456859817515e-12
73848,1.9620313675971563e-12,8.597175593845151e-10
73531,1.1689390978459425e-12,3.6833885829962276e-09
74747,1.0994903410536709e-12,9.235886972387837e-09
73660,5.803501375186965e-13,1.1300550580182937e-09
71834,2.0964314392451552e-13,3.6230272556441735e-10
