ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
42049,0.0,0.0
42079,0.0,0.0
40769,0.0,0.0
42265,0.0,0.0
42076,0.0,0.0
42140,0.0,0.0
40940,0.0,0.0
42717,0.0,0.0
42134,0.0,0.0
42286,0.0,0.0
42204,0.0,0.0
42071,0.0,0.0
42167,0.0,0.0
42050,0.0,0.0
42234,0.0,0.0
42202,0.0,0.0
42120,0.0,0.0
42633,0.0,0.0
42041,0.0,0.0
42133,0.0,0.0
42647,0.0,0.0
42211,0.0,0.0
42262,0.0,0.0
42164,0.0,0.0
42649,0.0,0.0
42151,0.0,0.0
30736,1.246375581606609e-12,1.1461896085110448e-11
35750,0.0,0.0
35634,0.0,0.0
35773,0.0,0.0
38852,0.0,0.0
35772,0.0,0.0
30725,0.0,0.0
35958,0.0,0.0
30741,1.1266903241727874e-05,0.0005198409993318318
30752,0.0,0.0
35745,0.0,0.0
30559,0.0,0.0
30541,0.0,0.0
35768,0.0,0.0
30555,0.0,0.0
30710,0.0,0.0
35761,0.0,0.0
30708,0.0,0.0
35677,0.0,0.0
35620,0.0,0.0
35648,0.0,0.0
30751,0.0,0.0
35647,0.0,0.0
30750,4.885103840756973e-13,5.045856300967006e-11
35740,0.0,0.0
30513,0.0,0.0
30757,7.437274083080299e-14,4.167109975278082e-12
35739,0.0,0.0
35645,0.0,0.0
35610,0.0,0.0
30711,0.0,0.0
35633,0.0,0.0
28771,0.0,0.0
28719,0.0,0.0
28684,0.0,0.0
28740,0.0,0.0
28743,0.0,0.0
28906,0.0,0.0
28705,0.0,0.0
28753,0.0,0.0
28692,0.0,0.0
28615,0.0,0.0
28679,0.0,0.0
28714,0.0,0.0
28785,0.0,0.0
28622,0.0,0.0
28698,0.0,0.0
28657,0.0,0.0
28754,0.0,0.0
63877,0.0,0.0
63830,0.0,0.0
63873,0.0,0.0
63851,0.0,0.0
63869,0.0,0.0
72358,0.0,0.0
72350,0.0,0.0
72315,0.0,0.0
72301,0.0,0.0
72395,0.0,0.0
72338,0.0,0.0
72364,0.0,0.0
72370,0.0,0.0
72376,0.0,0.0
72384,0.0,0.0
38834,0.0,0.0
38635,0.0,0.0
38672,0.0,0.0
38654,1.220602466484698e-12,1.5224548062731864e-11
38647,0.0,0.0
38683,0.0,0.0
38611,0.0,0.0
38326,0.0,0.0
38671,0.0,0.0
