ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
69365,8.06026373663511e-15,1.2417762348183697e-11
68759,1.2237321591620683e-13,3.208759594517025e-11
69360,3.6312252397080975e-15,8.384037170859087e-13
68743,1.0717650034574592e-13,1.5848552364012751e-10
69218,1.6882649484671757e-14,2.5062380289184577e-12
69201,0.0034560414486785648,0.16787142818004827
68719,0.0002642266135884541,0.39940330775220273
68778,8.199850896229182e-14,1.3292156002559614e-11
68722,8.126016946793182e-17,6.552275295978382e-14
69367,9.913577983654072e-15,3.328908370921094e-12
68774,3.53699076593743e-13,6.537885595213566e-10
69337,0.0014262122123813573,0.14508439740497245
68755,7.934927959731367e-06,0.004317460427633329
69346,7.479170981779115e-14,5.106187074674221e-12
69343,5.179456852290078e-14,2.8347739010489764e-12
69211,4.854083571621518e-14,1.0211167203671925e-11
69216,0.0007474122593192348,0.29146836385136843
68777,1.2630698987013574e-13,5.427074166895087e-11
69219,0.0,0.0
57735,0.011334775289938622,0.9813034178712504
68746,2.836468844918439e-13,1.0016158595822079e-10
68757,5.910235666825112e-13,3.6563530734010684e-10
68730,8.40273401308473e-14,4.1126536426113654e-11
68776,2.992315490824672e-14,1.025969254109088e-10
68718,1.2431850670766987e-16,4.375475120795647e-14
68760,3.329560784132204e-13,1.2225733147254274e-10
69212,0.001306008447672836,0.429673097752541
69220,3.1224208189700077e-07,0.0002463054514112121
68770,8.25287300582886e-13,6.377343770920846e-10
68792,3.7866673399830906e-14,5.433748129060264e-11
59313,5.64016071474114e-13,4.627742836539195e-11
58552,2.284169865823021e-13,3.221543346341821e-11
57648,0.001837000825708327,0.5258891495494371
58413,0.00044557083730552434,0.06556836628493927
58568,2.1136905665573988e-05,0.0037590750862279802
58639,0.0016158259896130005,0.21180685761604792
58542,3.1513440482507045e-12,1.3034871151240857e-09
57645,0.0020933114841759463,0.5184003212959247
58474,5.824325190464622e-12,1.1096341651709667e-09
58623,0.0001408613936306968,0.019382975627283965
58436,0.00019572070918754005,0.045548140903230006
58013,7.822154243959012e-13,8.161658264082617e-10
58439,0.0009332383840053071,0.37063295718633626
58030,3.327592952626983e-12,1.89531099740691e-09
58651,5.543047434481357e-12,5.747639456084622e-10
58043,3.942486795517565e-05,0.04853133309753936
58041,2.0505765619311707e-05,0.0076122169133677675
57642,0.009413982276231154,0.971708227090768
57660,0.00232308549854244,0.8798481934584378
58653,0.0007238509657652736,0.14565068598602487
58649,0.000321678983002435,0.09400576054314386
57638,0.00887188039459915,0.6506926701570099
58581,3.413429080897023e-12,2.08146947922007e-09
57641,0.004011507442216724,0.6247814003647244
57430,0.004624412614795966,0.9913580415666686
57255,0.0013471844247146295,0.9551392040209129
58032,1.156329432241714e-12,7.952626708389157e-10
58017,3.0447253505895417e-12,1.2563064113814788e-09
58053,0.00025277958919379804,0.07846846138110802
58538,3.331517446950607e-12,1.3202377683887464e-09
57103,1.6330315730332734e-13,1.3359810819182184e-09
57436,0.0024766458043989654,1.0
57258,0.001559766237174739,1.0
57473,0.002476134041803445,1.0
57429,0.00018525094620867665,1.0
57279,0.001893741466310327,0.9999999998735886
57010,0.000810111600292983,0.9999999985695353
57750,0.004181644176238407,1.0
57780,0.0054700309916332086,1.0
57051,0.0010214057252159034,1.0
57027,0.00012301786424008445,0.9999999968469553
57014,0.0017249912578086051,1.0
57792,0.0019526541071134586,1.0
57570,0.0006051169233594261,1.0
57601,0.006273321804733844,0.9964018425352885
57722,0.006977743801232108,1.0
57579,0.008091916011212064,1.0
57585,0.00405905382413534,1.0
57548,0.0016385394650741702,1.0
57621,4.207884317028526e-05,1.0
57633,0.010788455634678878,1.0
57521,0.005535799526969888,1.0
57367,6.374583270004667e-05,1.0
57370,0.00281458878502889,1.0
57644,0.009358931064338863,1.0
57355,0.004969116567315297,1.0
57362,0.006075868432175253,1.0
57361,3.1492201808104545e-05,1.0
57438,0.005851073570770212,1.0
57017,0.0014057687094344035,1.0
57042,0.0025046859524166312,0.9855930442126097
57078,0.001447316718415453,0.9535853197637609
57717,0.01348782703332521,0.7462122029380724
57371,0.0029310287848764,1.0
57037,0.0013264861614874514,1.0
57029,0.0024379289113469218,1.0
57401,0.003543806403465894,0.9543732864315817
57251,0.0006414069669210714,1.0
57468,0.0010011237737018153,1.0
57636,0.00027177709831129764,1.0
57226,0.0025705156974173476,1.0
57238,0.000986052758668035,1.0
57452,0.002775652968575844,1.0
57021,0.00038371821798300585,1.0
57012,0.0010786065595712036,1.0
57032,0.0005979789114219533,0.9545480378522015
57465,0.002025707079440065,1.0
57030,0.0015399534000240054,0.8996276564822456
57702,0.0035449788717287116,0.9537098488157043
57274,0.005219478165900938,1.0
57034,0.0008963899854655656,0.9227936734312424
57719,0.0020819003098154296,0.9584577518293632
57761,0.005736098713766788,1.0
57785,0.0073967065948870045,0.9935360416447843
57369,0.006112002400306147,1.0
57233,0.0004781945305263291,1.0
57758,0.008021906095971467,1.0
57385,0.003053792094366518,1.0
57551,0.00965114361441498,0.9999999989994782
57770,0.002455297120842962,0.9942478328691334
57772,0.006435844509862057,1.0
57566,0.0019588119720207577,1.0
57560,0.002173695882374337,1.0
57547,0.0026881471410771865,1.0
57024,0.0003763420174933742,1.0
56164,0.00010433341867409025,0.03353665991146114
57065,0.00039085367833601614,1.0
57762,0.001388737943143134,1.0
57045,0.0015413800502056207,1.0
57046,0.0006518031036500082,0.9999999987476393
57564,0.005780398907023695,1.0
57522,0.0022552837814174688,1.0
57311,0.0024204317451885582,1.0
57375,0.0017917292405382867,1.0
57073,0.0008811201686312832,1.0
57433,0.0016657472633224148,1.0
57441,0.0035699763309074103,0.999999999987734
57232,0.0012557707227855012,1.0
57259,0.0017395627997181657,0.9999999997426058
57246,0.00039995781105669077,1.0
57223,0.0016697948900227203,1.0
