Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
Idaho,Rural,212,40,224,39
Illinois,City,209,41,210,43
Illinois,Suburb,224,40,223,38
Illinois,Town,‡,‡,219,40
Illinois,Rural,214,42,218,40
Indiana,City,205,42,212,39
Indiana,Suburb,224,39,229,38
Indiana,Town,216,38,218,37
Indiana,Rural,223,37,227,37
Iowa,City,211,40,213,42
Iowa,Suburb,229,35,233,34
Iowa,Town,212,39,218,38
Iowa,Rural,222,36,222,34
Kansas,City,209,41,215,40
Kansas,Suburb,231,35,228,36
Kansas,Town,210,38,216,36
Kansas,Rural,213,41,222,37
Kentucky,City,215,40,217,41
Kentucky,Suburb,230,37,229,37
Kentucky,Town,213,38,221,38
Kentucky,Rural,214,37,220,36
Louisiana,City,206,44,206,43
Louisiana,Suburb,219,39,215,37
Louisiana,Town,206,40,204,40
Louisiana,Rural,215,38,210,40
Maine,City,212,44,218,42
Maine,Suburb,222,39,235,35
Maine,Town,209,41,217,38
Maine,Rural,211,40,219,37
Maryland,City,203,46,210,43
Maryland,Suburb,213,44,222,41
Maryland,Town,‡,‡,220,46
Maryland,Rural,225,40,224,34
Massachusetts,City,216,43,223,37
Massachusetts,Suburb,228,40,232,36
Massachusetts,Town,‡,‡,‡,‡
Massachusetts,Rural,240,34,243,30
Michigan,City,202,43,207,40
Michigan,Suburb,213,40,222,35
Michigan,Town,219,40,225,32
Michigan,Rural,216,38,221,37
Minnesota,City,212,43,215,44
Minnesota,Suburb,217,41,228,38
Minnesota,Town,211,38,219,37
Minnesota,Rural,220,37,223,35
Mississippi,City,215,38,215,38
Mississippi,Suburb,222,34,225,34
Mississippi,Town,206,37,211,35
Mississippi,Rural,221,36,223,32
Missouri,City,201,41,204,41
Missouri,Suburb,217,43,226,38
Missouri,Town,212,41,218,37
Missouri,Rural,216,38,216,39
Montana,City,220,39,221,37
Montana,Suburb,‡,‡,225,39
Montana,Town,218,39,222,38
Montana,Rural,219,37,221,37
Nebraska,City,218,43,218,40
Nebraska,Suburb,219,36,229,36
Nebraska,Town,213,37,221,33
Nebraska,Rural,223,37,227,34
Nevada,City,213,39,219,38
Nevada,Suburb,209,41,216,37
Nevada,Town,208,37,220,34
Nevada,Rural,219,38,221,36
New Hampshire,City,203,40,211,40
New Hampshire,Suburb,228,34,231,34
New Hampshire,Town,216,38,218,37
New Hampshire,Rural,225,38,225,36
New Jersey,City,202,40,209,36
New Jersey,Suburb,225,38,230,36
New Jersey,Town,‡,‡,‡,‡
New Jersey,Rural,234,30,230,33
New Mexico,City,203,45,209,42
New Mexico,Suburb,204,42,202,43
New Mexico,Town,201,40,208,37
New Mexico,Rural,201,42,209,38
New York,City,209,41,212,38
New York,Suburb,218,44,229,35
New York,Town,214,39,221,37
New York,Rural,214,33,222,34
North Carolina,City,212,44,220,38
North Carolina,Suburb,224,38,231,36
North Carolina,Town,‡,‡,213,36
North Carolina,Rural,217,39,219,37
North Dakota,City,219,40,220,37
North Dakota,Suburb,216,35,224,34
North Dakota,Town,215,34,223,35
North Dakota,Rural,218,35,220,34
Ohio,City,193,46,204,36
Ohio,Suburb,226,37,228,36
Ohio,Town,214,41,221,36
Ohio,Rural,225,36,227,34
Oklahoma,City,195,40,207,38
Oklahoma,Suburb,217,36,223,35
Oklahoma,Town,210,38,216,34
Oklahoma,Rural,208,40,219,33
Oregon,City,217,42,220,44
Oregon,Suburb,206,43,219,42
Oregon,Town,200,43,213,40
Oregon,Rural,215,39,217,36
Pennsylvania,City,199,39,202,40
Pennsylvania,Suburb,226,39,230,38
Pennsylvania,Town,214,41,223,39
Pennsylvania,Rural,221,35,230,37
Rhode Island,City,205,41,208,40
Rhode Island,Suburb,220,41,222,39
Rhode Island,Town,‡,‡,‡,‡
Rhode Island,Rural,233,34,239,32
South Carolina,City,216,42,212,42
South Carolina,Suburb,218,40,221,41
South Carolina,Town,‡,‡,206,40
South Carolina,Rural,217,39,215,40
South Dakota,City,214,38,221,39
South Dakota,Suburb,‡,‡,‡,‡
South Dakota,Town,224,36,226,35
South Dakota,Rural,216,39,220,36
Tennessee,City,206,43,212,41
Tennessee,Suburb,222,37,230,36
Tennessee,Town,214,39,217,37
Tennessee,Rural,217,37,220,39
Texas,City,210,40,211,39
Texas,Suburb,219,38,222,37
Texas,Town,‡,‡,217,33
Texas,Rural,218,36,215,35
Utah,City,221,41,223,35
Utah,Suburb,221,39,225,37
Utah,Town,218,40,222,38
Utah,Rural,226,38,233,35
Vermont,City,‡,‡,‡,‡
Vermont,Suburb,‡,‡,‡,‡
Vermont,Town,‡,‡,‡,‡
Vermont,Rural,‡,‡,‡,‡
Virginia,City,208,48,220,39
Virginia,Suburb,219,42,229,35
Virginia,Town,‡,‡,210,36
Virginia,Rural,210,39,220,36
Washington,City,223,40,221,39
Washington,Suburb,218,41,221,40
Washington,Town,203,45,209,44
Washington,Rural,210,43,218,36
West Virginia,City,206,44,215,43
West Virginia,Suburb,211,40,217,40
West Virginia,Town,203,41,214,41
West Virginia,Rural,203,42,211,42
Wisconsin,City,198,42,210,42
Wisconsin,Suburb,230,36,230,36
Wisconsin,Town,215,38,218,38
Wisconsin,Rural,224,36,221,39
Wyoming,City,225,37,223,36
Wyoming,Suburb,‡,‡,‡,‡
Wyoming,Town,224,37,228,35
Wyoming,Rural,227,34,229,34
