Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
National,City,213,42,215,40
National,Suburb,222,40,226,37
National,Town,212,39,217,38
National,Rural,218,38,219,37
Alabama,City,210,40,208,43
Alabama,Suburb,219,38,217,40
Alabama,Town,203,39,207,38
Alabama,Rural,215,37,213,39
Alaska,City,‡,‡,‡,‡
Alaska,Suburb,‡,‡,‡,‡
Alaska,Town,‡,‡,‡,‡
Alaska,Rural,‡,‡,‡,‡
Arizona,City,213,41,214,41
Arizona,Suburb,224,37,220,37
Arizona,Town,205,40,213,35
Arizona,Rural,214,35,214,40
Arkansas,City,207,47,217,41
Arkansas,Suburb,210,43,214,42
Arkansas,Town,211,40,214,40
Arkansas,Rural,217,40,215,41
California,City,213,43,214,41
California,Suburb,219,42,223,40
California,Town,204,40,201,41
California,Rural,‡,‡,206,37
Colorado,City,220,41,219,39
Colorado,Suburb,226,37,229,37
Colorado,Town,220,37,224,36
Colorado,Rural,227,35,229,35
Connecticut,City,201,38,213,41
Connecticut,Suburb,225,39,228,37
Connecticut,Town,‡,‡,‡,‡
Connecticut,Rural,236,36,236,34
Delaware,City,189,44,206,38
Delaware,Suburb,212,40,218,40
Delaware,Town,207,40,219,39
Delaware,Rural,215,39,224,39
District of Columbia,City,207,47,214,42
District of Columbia,Suburb,‡,‡,‡,‡
District of Columbia,Town,‡,‡,‡,‡
District of Columbia,Rural,‡,‡,‡,‡
DoDEA,City,‡,‡,‡,‡
DoDEA,Suburb,‡,‡,‡,‡
DoDEA,Town,‡,‡,‡,‡
DoDEA,Rural,‡,‡,‡,‡
Florida,City,217,39,223,36
Florida,Suburb,228,34,226,35
Florida,Town,‡,‡,‡,‡
Florida,Rural,225,34,222,37
Georgia,City,209,42,213,39
Georgia,Suburb,220,42,222,41
Georgia,Town,214,38,215,38
Georgia,Rural,214,38,215,38
Hawaii,City,221,42,219,39
Hawaii,Suburb,224,40,221,39
Hawaii,Town,212,42,214,39
Hawaii,Rural,207,40,206,44
Idaho,City,218,41,226,37
Idaho,Suburb,221,41,224,36
Idaho,Town,208,42,214,39
