Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
Oregon,Rural,255,35,265,37
Pennsylvania,City,244,41,245,39
Pennsylvania,Suburb,265,39,272,37
Pennsylvania,Town,251,38,262,32
Pennsylvania,Rural,266,36,263,37
Rhode Island,City,243,42,244,45
Rhode Island,Suburb,263,40,266,38
Rhode Island,Town,‡,‡,‡,‡
Rhode Island,Rural,276,34,278,34
South Carolina,City,252,41,258,37
South Carolina,Suburb,259,40,265,38
South Carolina,Town,248,38,253,36
South Carolina,Rural,251,37,255,37
South Dakota,City,258,39,264,37
South Dakota,Suburb,‡,‡,‡,‡
South Dakota,Town,265,34,266,34
South Dakota,Rural,261,36,259,36
Tennessee,City,245,42,255,39
Tennessee,Suburb,264,34,274,35
Tennessee,Town,256,36,258,33
Tennessee,Rural,264,36,264,34
Texas,City,254,35,250,38
Texas,Suburb,260,35,262,36
Texas,Town,252,33,253,35
Texas,Rural,252,33,258,33
Utah,City,258,39,267,40
Utah,Suburb,266,37,269,36
Utah,Town,264,32,264,35
Utah,Rural,269,35,265,34
Vermont,City,‡,‡,‡,‡
Vermont,Suburb,‡,‡,‡,‡
Vermont,Town,‡,‡,‡,‡
Vermont,Rural,‡,‡,‡,‡
Virginia,City,256,39,258,39
Virginia,Suburb,263,39,263,40
Virginia,Town,250,37,259,38
Virginia,Rural,258,38,263,37
Washington,City,264,40,266,43
Washington,Suburb,263,36,270,40
Washington,Town,253,39,255,36
Washington,Rural,257,37,263,38
West Virginia,City,252,41,259,37
West Virginia,Suburb,249,41,261,37
West Virginia,Town,251,40,250,38
West Virginia,Rural,247,39,255,36
Wisconsin,City,251,38,256,39
Wisconsin,Suburb,269,37,276,35
Wisconsin,Town,268,33,269,34
Wisconsin,Rural,262,34,271,34
Wyoming,City,256,37,260,37
Wyoming,Suburb,‡,‡,‡,‡
Wyoming,Town,262,35,266,33
Wyoming,Rural,263,35,267,34
