Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
Oregon,Rural,270,34,278,36
Pennsylvania,City,253,36,260,40
Pennsylvania,Suburb,281,39,292,41
Pennsylvania,Town,273,38,284,37
Pennsylvania,Rural,281,35,291,39
Puerto Rico,City,219,30,221,29
Puerto Rico,Suburb,214,29,222,30
Puerto Rico,Town,221,28,‡,‡
Puerto Rico,Rural,‡,‡,218,29
Rhode Island,City,254,37,258,42
Rhode Island,Suburb,275,39,280,40
Rhode Island,Town,‡,‡,‡,‡
Rhode Island,Rural,280,37,289,35
South Carolina,City,271,39,272,40
South Carolina,Suburb,274,37,285,39
South Carolina,Town,253,37,262,37
South Carolina,Rural,267,37,273,39
South Dakota,City,280,38,291,38
South Dakota,Suburb,‡,‡,‡,‡
South Dakota,Town,285,34,290,38
South Dakota,Rural,280,34,282,36
Tennessee,City,261,40,272,40
Tennessee,Suburb,281,38,290,37
Tennessee,Town,270,37,278,36
Tennessee,Rural,277,35,282,36
Texas,City,269,37,277,37
Texas,Suburb,281,38,286,37
Texas,Town,268,32,273,30
Texas,Rural,269,35,279,34
Utah,City,276,39,282,38
Utah,Suburb,282,39,286,39
Utah,Town,276,36,285,39
Utah,Rural,288,32,282,39
Vermont,City,‡,‡,‡,‡
Vermont,Suburb,‡,‡,‡,‡
Vermont,Town,‡,‡,‡,‡
Vermont,Rural,‡,‡,‡,‡
Virginia,City,272,39,279,37
Virginia,Suburb,286,41,293,38
Virginia,Town,268,35,281,37
Virginia,Rural,275,37,285,36
Washington,City,277,40,286,42
Washington,Suburb,278,39,290,42
Washington,Town,268,40,278,40
Washington,Rural,274,34,277,40
West Virginia,City,261,38,279,38
West Virginia,Suburb,264,37,275,35
West Virginia,Town,261,35,273,37
West Virginia,Rural,258,37,268,38
Wisconsin,City,267,38,272,41
Wisconsin,Suburb,286,39,302,37
Wisconsin,Town,290,36,293,34
Wisconsin,Rural,285,36,290,35
Wyoming,City,275,35,283,37
Wyoming,Suburb,‡,‡,‡,‡
Wyoming,Town,283,34,290,34
Wyoming,Rural,283,34,284,35
